Mini Sticks - CHERISH - 3 Asst.,32320,Accents|Signs & Blocks|(All) The Hearthside Collection|Everyday,"Three assorted mini sticks measuring 1"" x 6"". Sticks read, ""Bless Our Home."" - ""Home Sweet Home."" - ""Cherish the Simple Things.""",,,,,"measuring 1"" x 6"".",,18,1.1,324,1,,,18,Hearthside400,Hearthside160,32320.jpg,32320.jpg,84275605069 0,,Hearthside800,32320.jpg
Wine Tags - THERAPY - 3 Asst,32817,Accents|(All) The Hearthside Collection|Everyday,"Wooden wine tags each measuring 2-3/4"" in diameter. Tags read, ""Group Therapy"" - ""Going, Going, Gone"" - ""Liquid Happiness"" 
 ",,,,,"measuring 2-3/4"" in diameter.",,24,0.9,288,0.85,,,24,Hearthside400,Hearthside160,32817.jpg,32817.jpg,84275605675,,Hearthside800,32817.jpg
Wine Tags - SALUTE - 3 Asst,32815,Accents|(All) The Hearthside Collection|Everyday,"Three assorted wine tags each measuring 2-3/4"" in diameter. Tags read, ""Salute"" - ""Cheers"" - ""Bottoms Up""",,,,,"measuring 2-3/4"" in diameter.",,24,0.9,288,0.85,,,24,Hearthside400,Hearthside160,32815.jpg,32815.jpg,84275605673,,Hearthside800,32815.jpg
Old Town Clock,60077,Accents|(All) The Hearthside Collection|Everyday,"Slat wood clock measuring 36"" in diameter has a natural wood grain and white hands, along with white corrugated metal numbers. Comes with working clock parts requiring one AA battery. An impressive piece for any home decor!",,,,,"measuring 36"" in diameter has a natural wood grain and white hands, along with white corrugated metal numbers.",,2,55.95,,,,,2,Hearthside400,Hearthside160,60077-large-wooden-clock.jpg,60077-large-wooden-clock.jpg,8.43E+11,,Hearthside800,60077-large-wooden-clock.jpg
Shallow Tray W/Handles - Natural,10037,Accents|(All) The Hearthside Collection|Everyday,"The look, weight, and feel of authentic Treenware, but at a fraction of the cost! Made of resin and measuring 16"" L x 7-1/2"" W x 2"" D, this piece has a wood carved look with a deep walnut finish. Handles on both ends.",,,,,"measuring 16"" L x 7-1/2"" W x 2"" D, this piece has a wood carved look with a deep walnut finish.",,2,9.5,10,8.55,,,2,Hearthside400,Hearthside160,10037-shallow-tray-handles.jpg,10037-shallow-tray-handles.jpg,84275600841,,Hearthside800,10037-shallow-tray-handles.jpg
Flat Bottom Scoop,10028,Accents|(All) The Hearthside Collection|Everyday,"Resin scoop measuring 5-1/8""L x 1-3/8""W has the look and feel of authentic treenware for a fraction of the cost! This piece is stained a natural wood color and has distressing to give it a hand-carved look.
For decorative use only. Do not use with food or liquids.",,,,,"measuring 5-1/8""L x 1-3/8""W has the look and feel of authentic treenware for a fraction of the cost! This piece is stained a natural wood color and has distressing to give it a hand-carved look.",,12,1.5,144,1.35,,,12,Hearthside400,Hearthside160,10028.jpg,10028.jpg,8.43E+11,,Hearthside800,10028.jpg
Wide Rim Bowl,10025,Accents|(All) The Hearthside Collection|Everyday,"Resin bowl with the authentic look and feel of Treenware features a wide rim and a smoothed finish. Measures approx. 6-7/8"" W x 2-7/16"" H x 2"" D.
For decorative use only. Not for use with food or water.",,,,,"Measures approximately 6-7/8"" W x 2-7/16"" H x 2"" D.",,3,5.95,18,5.35,,,3,Hearthside400,Hearthside160,10025.jpg,10025.jpg,8.43E+11,,Hearthside800,10025.jpg
"Hand Painted Decorative Balls -LIVE,LAUGH,LOVE- 3asst.",32341,Accents|(All) The Hearthside Collection|Everyday,"3 assorted, wooden decorative balls measuring 4"" in diameter. Decorative balls feature hand-painted designs of stars and greenery with the words: Live, Laugh, and Love.
 A Barbara Lloyd Design",,,,,"measuring 4"" in diameter.",,6,3.95,36,3.56,,,6,Hearthside400,Hearthside160,32341.jpg,32341.jpg,8.43E+11,,Hearthside800,32341.jpg
"Carved Bowl - 7""",10040,Accents|(All) The Hearthside Collection|Everyday,"Resin bowl measuring 7"" in diameter has the look and feel of authentic treenware at a more economical price. This heavyweight piece looks truly authentic, stained a natural brown with the look of carved wood.
For display purposes only. Do not use with food or liquid.",,,,,"measuring 7"" in diameter has the look and feel of authentic treenware at a more economical price.",,3,6.7,18,6.05,,,3,Hearthside400,Hearthside160,10040.jpg,10040.jpg,84275600844,,Hearthside800,10040.jpg
"Carved Bowl - 9""",10041,Accents|(All) The Hearthside Collection|Everyday,"Resin bowl measuring 9"" in diameter has the look and feel of authentic treenware at a more economical price. This heavyweight piece looks truly authentic, stained a natural brown with the look of carved wood.
For display purposes only. Do not use with food or liquid.",,,,,"measuring 9"" in diameter has the look and feel of authentic treenware at a more economical price.",,3,8.85,12,8,,,3,Hearthside400,Hearthside160,10041.jpg,10041.jpg,84275600845,,Hearthside800,10041.jpg
