,1X6
Where Friends Meet - horz.,368
Wicked Pissah,BL103
Winter (set of 3),1081
Winter (set of 3),1081B
Wisdom (set of 3),1055
Wisdom (set of 3),1055B
Wishes (set of 3),1116B
Wishes (set of 3),1116
Wishing you a very Merry Christmas,8035
Witches (set of 3),1064
Witches (set of 3),1064B
Without Music Life would b/flat,BL106
Wonderland (set of 3),1084
Wonderland (set of 3),1084B
XLG Life is good on the Eastern Shore,4032XL
XOXO (set of 3),1118B
XOXO (set of 3),1118
YARD SALE...Ski Equipment (only used once),SKIL
YAWKEY WAY G/W *NO SHADING*,BWY
YOOOOUUK!!,BLR121
You can't be old and wise if you were never,6091
You miss 100% of the shots you don't take.,6092
Youbetcha!,SAC103
Your first breath...took ours away,6086
a day at the BAY....priceless,621BY
a day at the BEACH...priceless,621BCH
a day at the STADIUM...priceless,621S
and (set of 3),1003B
and (set of 3),1003
compass,733
enjoy the moment,R102A
itty-bitty-city signs,222
love completely,R604
see (set of 3),1134
see (set of 3),1134B
snow (set of 3),1135
snow (set of 3),1135B
the 3 R's,8039-
the HIGHLANDS are calling,623H
the best memories are made at the River,686R
the fondest memories are made while gathered 'round the table,6075
Bless All Who Enter,148
Friends Gather Here,145
No Whining,147
StarLight,149
