Cowhide - Rectangle - 5x8 - Black,0006BLK201,Motor Head|Rectangle|5x8|Southwest,Add a touch of Western charm to any room. No cows were harmed in the making of this handsome faux cow rug.  MADE IN AMERICA!,,,,,5x8,,1,$150.00,,,,,1,Dakota400,Dakota160,Cow Hide- black 5x8.jpg,Cow Hide- black 5x8.jpg,100% EnduraStran tm Nylon,,Dakota800,Cow Hide- black 5x8.jpg,,,,,
Cowhide - Rectangle - 8x11 - Black,0006BLK202,Motor Head|Rectangle|8x11|Southwest,Add a touch of Western charm to any room. No cows were harmed in the making of this handsome faux cow rug.  MADE IN AMERICA!,,,,,8x11,,1,$294.00,,,,,1,Dakota400,Dakota160,Cow Hide- black 5x8.jpg,Cow Hide- black 5x8.jpg,100% EnduraStran tm Nylon,,Dakota800,Cow Hide- black 5x8.jpg,,,,,
Cowhide - Runner - 2x8 - Black,0006BLK217,Motor Head|Runner|2x8|Southwest,Add a touch of Western charm to any room. No cows were harmed in the making of this handsome faux cow rug.  MADE IN AMERICA!,,,,,2x8,,1,$80.00,,,,,1,Dakota400,Dakota160,Cow Hide- black 2x8.jpg,Cow Hide- black 2x8.jpg,100% EnduraStran tm Nylon,,Dakota800,Cow Hide- black 2x8.jpg,,,,,
Cowhide - Scatter - 3x4 - Black,0006BLK234,Motor Head|Scatter|3x4|Southwest,Add a touch of Western charm to any room. No cows were harmed in the making of this handsome faux cow rug.  MADE IN AMERICA!,,,,,3x4,,1,$49.00,,,,,1,Dakota400,Dakota160,Cow Hide- black 5x8.jpg,Cow Hide- black 5x8.jpg,100% EnduraStran tm Nylon,,Dakota800,Cow Hide- black 5x8.jpg,,,,,
Cowhide - Round - 8ft round - Black,0006BLK296,Motor Head|Round|8ft round|Southwest,Add a touch of Western charm to any room. No cows were harmed in the making of this handsome faux cow rug.  MADE IN AMERICA!,,,,,8ft round,,1,$294.00,,,,,1,Dakota400,Dakota160,Cow Hide- black 8FT round.jpg,Cow Hide- black 8FT round.jpg,100% EnduraStran tm Nylon,,Dakota800,Cow Hide- black 8FT round.jpg,,,,,
Cowhide - Rectangle - 4x5 - Chocolate,0006CHC200,Motor Head|Rectangle|4x5|Southwest,Add a touch of Western charm to any room. No cows were harmed in the making of this handsome faux cow rug.  MADE IN AMERICA!,,,,,4x5,,1,$76.00,,,,,1,Dakota400,Dakota160,Cow Hide- black 5x8.jpg,Cow Hide- black 5x8.jpg,100% EnduraStran tm Nylon,,Dakota800,Cow Hide- black 5x8.jpg,,,,,
Cowhide - Rectangle - 5x8 - Chocolate,0006CHC201,Motor Head|Rectangle|5x8|Southwest,Add a touch of Western charm to any room. No cows were harmed in the making of this handsome faux cow rug.  MADE IN AMERICA!,,,,,5x8,,1,$150.00,,,,,1,Dakota400,Dakota160,Cow Hide- black 5x8.jpg,Cow Hide- black 5x8.jpg,100% EnduraStran tm Nylon,,Dakota800,Cow Hide- black 5x8.jpg,,,,,
Cowhide - Rectangle - 8x11 - Chocolate,0006CHC202,Motor Head|Rectangle|8x11|Southwest,Add a touch of Western charm to any room. No cows were harmed in the making of this handsome faux cow rug.  MADE IN AMERICA!,,,,,8x11,,1,$294.00,,,,,1,Dakota400,Dakota160,Cow Hide- black 5x8.jpg,Cow Hide- black 5x8.jpg,100% EnduraStran tm Nylon,,Dakota800,Cow Hide- black 5x8.jpg,,,,,
Cowhide - Runner - 2x8 - Chocolate,0006CHC217,Motor Head|Runner|2x8|Southwest,Add a touch of Western charm to any room. No cows were harmed in the making of this handsome faux cow rug.  MADE IN AMERICA!,,,,,2x8,,1,$80.00,,,,,1,Dakota400,Dakota160,Cow Hide- chocolate 2x8.jpg,Cow Hide- chocolate 2x8.jpg,100% EnduraStran tm Nylon,,Dakota800,Cow Hide- chocolate 2x8.jpg,,,,,
Cowhide - Scatter - 3x4 - Chocolate,0006CHC234,Motor Head|Scatter|3x4|Southwest,Add a touch of Western charm to any room. No cows were harmed in the making of this handsome faux cow rug.  MADE IN AMERICA!,,,,,3x4,,1,$49.00,,,,,1,Dakota400,Dakota160,Cow Hide- black 5x8.jpg,Cow Hide- black 5x8.jpg,100% EnduraStran tm Nylon,,Dakota800,Cow Hide- black 5x8.jpg,,,,,
