Product Name,Item Number,Store Categories,Detailed Product Description,Product Summary Overview,Size,minimum_quantity,Unit Price,minimum_quantityP2,tier_2_price,minimum_quantityP3,tier_3_price,multiple_of,Product Images,Quantity,MSRP,Sale Price,Ship Days,Is Active,Brand,Categories,Variations,Section,Sku,isImageAvailable,,
WILLIEES FAMILY-SMALL,CHD186,(All) ACG View|ACG Giftware,,,"6.75""ùW x 4.75""ùH x 2""ùD",4,7.25,,,,,4,chd186-willies-family-sm.jpg,1,14.5,,4,1,A Cheerful Giver,Christmas-Snowmen,,Home Decor,67462303186-6,1,,
Cheerful Willie/Let It Snow ? ,CHD204,(All) ACG View|ACG Giftware,,,,2,9.5,,,,,2,CHD204-Gift-Set.jpg,1,19,,4,1,A Cheerful Giver,Christmas-Snowmen,,Home Decor,67462303204-7,1,,
UNDER THE STUMP,CHD205,(All) ACG View|ACG Giftware,,,"7""ùW x 5.5""ùH x 5.25""ùD Note: Floral filler not included.",2,9,,,,,2,CHD205-Under-the-Stump.jpg,1,18,,4,1,A Cheerful Giver,Farmhouse Home-Home Decor,,Pets-Home Decor,67462303205-4,1,,
Tobogganing/Sparkling Snowberries ? ,CHD206,(All) ACG View|ACG Giftware,,,,2,9.5,,,,,2,CHD206-Gift-Set.jpg,1,19,,4,1,A Cheerful Giver,Christmas-Snowmen,,Home Decor,67462303206-1,1,,
YELLOW BIRD,CHD207,(All) ACG View|ACG Giftware,,,,2,7.5,,,,,2,CHD207-Yellow-Bird.jpg,1,15,,4,1,A Cheerful Giver,Garden & Outdoor-Garden DÈcor,,Outdoor Home-Outdoor Decor,67562303207-8,1,,
RABBITS ON THE STUMP,CHD209,(All) ACG View|ACG Giftware,,,"5.5""ùW x 5""ùH x 5.5""ùD Note: Floral filler not included.",2,7.5,,,,,2,CHD209-Rabbits-Stump.jpg,1,15,,4,1,A Cheerful Giver,Garden & Outdoor-Garden DÈcor,,Outdoor Home-Outdoor Decor,67462303209-2,1,,
FROG WITH SHOE,CHD210,(All) ACG View|ACG Giftware,,,"4""ùW x 2.75""ùH x 2""ùD Note: Floral filler not included.",4,3.5,,,,,4,CHD210-Frog-with-Shoe.jpg,1,7,,4,1,A Cheerful Giver,Garden & Outdoor-Garden DÈcor,,Outdoor Home-Outdoor Decor,67462303210-8,1,,
BIRDS IN A SHOE,CHD212,(All) ACG View|ACG Giftware,,,,2,8,,,,,2,CHD212-Bird-Shoe.jpg,1,16,,4,1,A Cheerful Giver,Garden & Outdoor-Garden DÈcor,,Outdoor Home-Outdoor Decor,67462303212-2,1,,
DUCK WITH UMBRELLA,CHD213,(All) ACG View|ACG Giftware,,,"3.25""ùW x 7""ùH x 3.75""ùD",2,7.25,,,,,2,CHD213-Duck-with-Umbrella.jpg,1,14.5,,4,1,A Cheerful Giver,Garden & Outdoor-Garden DÈcor,,Outdoor Home-Outdoor Decor,67462303213-9,1,,
DUCK UNDER UMBRELLA,CHD214,(All) ACG View|ACG Giftware,,,"3.25""ùW x 7""ùH x 3.75""ùD",2,8,,,,,2,CHD214-Duck-Under-Umbella.jpg,1,16,,4,1,A Cheerful Giver,Garden & Outdoor-Garden DÈcor,,Outdoor Home-Outdoor Decor,67462303214-6,1,,
Momma Duck and ducklings,CHD215,(All) ACG View|ACG Giftware,,,,2,10,,,,,2,CHD215-Mama-Duck-with-Ducklings.jpg,1,20,,4,1,A Cheerful Giver,Garden & Outdoor-Garden DÈcor,,Outdoor Home-Outdoor Decor,67462303215-3,1,,
Quacking in the Rain,CHD216,(All) ACG View|ACG Giftware,,,,2,10,,,,,2,CHD216-Quacking-in-the-Rain.jpg,1,20,,4,1,A Cheerful Giver,Garden & Outdoor-Garden DÈcor,,Outdoor Home-Outdoor Decor,67462303216-0,1,,
TWO DUCKS UNDER UMBRELLA,CHD217,(All) ACG View|ACG Giftware,,,,2,9,,,,,2,CHD217-Two-Ducks-Umbrella.jpg,1,18,,4,1,A Cheerful Giver,Garden & Outdoor-Garden DÈcor,,Outdoor Home-Outdoor Decor,67462303217-7,1,,
RESTING DUCK ,CHD218,(All) ACG View|ACG Giftware,,,"7.5""ùW x 3.5""ùH x 2.625""ùD",2,6.5,,,,,2,CHD218-Resting-Duck.jpg,1,13,,4,1,A Cheerful Giver,Garden & Outdoor-Garden DÈcor,,Outdoor Home-Outdoor Decor,67462303218-4,1,,
DUCK LEANING ON UMBRELLA ,CHD219,(All) ACG View|ACG Giftware,,,"2.5""ùW x 7""ùH x 4""ùD",2,7.25,,,,,2,CHD219-Duck-Leaning-on-Umbrella.jpg,1,14.5,,4,1,A Cheerful Giver,Garden & Outdoor-Garden DÈcor,,Outdoor Home-Outdoor Decor,67462303219-1,1,,
AMERICANA KIDS- PATRIOTIC- BOY,CHD224,(All) ACG View|ACG Giftware,,,"2""ùW x 4""ùH x 1.75""ùD",4,3.75,,,,,4,CHD224-Patriotic-Boy.jpg,1,7.5,,4,1,A Cheerful Giver,Americana-Home DÈcor,,Home Decor,67462303224-5,1,,
AMERICANA KIDS- BIKE RIDE,CHD227,(All) ACG View|ACG Giftware,,,"5""ùW x 4.75""ùH x 1.75""ùD",2,8,,,,,2,CHD227-Bike-Ride.jpg,1,16,,4,1,A Cheerful Giver,Americana-Home DÈcor,,Home Decor,67462303227-6,1,,
AMERICANA KIDS- 4TH OF JULY,CHD229,(All) ACG View|ACG Giftware,,,"4""ùW x 4.75""ùH x 1.75""ùD",2,8,,,,,2,CHD229-4TH-of-July.jpg,1,16,,4,1,A Cheerful Giver,Americana-Home DÈcor,,Home Decor,67462303229-0,1,,
ACG Lg Mason Jar-Blue Ceramic Planter,CHD231,(All) ACG View|ACG Giftware,"Mason Jar Planters Dimensions: 9""W x 12.875""H x 9""D",,,2,25,,,,,2,chd231-blue-mason.jpg,1,50,,4,1,A Cheerful Giver,Garden & Outdoor-Planters & Boxes,,Outdoor Home-Planters,67462303231-3,1,,
