Moondust Bulb,01-4216,(All) Vicki Jeans Products|Specialty Bulbs|All Bulbs,"Moondust Silicone Bulb, Inner Bulb Is Replaceable Item # 01-1000 ($1.00). Nightlight Not Included.",,,,,,,6,3.5,,,,,6,VickieJeans400,VickieJeans160,471.jpg,471.jpg,,,VickieJeans800,471.jpg,,,,,
Moondust Nightlight,07-4216,(All) Vicki Jeans Products|All Bulbs|Nightlights,"Moondust Nightlight, Inner Bulb Is Replaceable Item # 01-1000",,,,,,,1,7.5,,,,,1,VickieJeans400,VickieJeans160,494.jpg,494.jpg,,,VickieJeans800,494.jpg,,,,,
White Celebration Bulb,01-4219,(All) Vicki Jeans Products|Specialty Bulbs|All Bulbs,White Celebration Silicone Bulb - Inner Bulb Is Replaceable Item # 01-3000 ($1.00),,,,,,,6,3.5,,,,,6,VickieJeans400,VickieJeans160,171.jpg,171.jpg,,,VickieJeans800,171.jpg,,,,,
White Celebration Nightlight,07-4219,(All) Vicki Jeans Products|All Bulbs|Nightlights,"White Celebration Bulb Nightlight, Inner bulb is replaceable, Item #01-3000 ($1.00).",,,,,,,1,7.5,,,,,1,VickieJeans400,VickieJeans160,484.jpg,484.jpg,,,VickieJeans800,484.jpg,,,,,
Primitive Celebration Bulb,01-4220,(All) Vicki Jeans Products|Specialty Bulbs|All Bulbs,Primitive Celebration Silicone Bulb - Inner Bulb Is Replaceable Item # 01-3000 ($1.00),,,,,,,6,3.5,,,,,6,VickieJeans400,VickieJeans160,172.jpg,172.jpg,,,VickieJeans800,172.jpg,,,,,
Tall Battery Snowball w/ Hat Candlestick,04-4220,(All) Vicki Jeans Products,"Approx. 10"" Tall Battery-Operated Snowball with Hat Candlestick on Wooden Base. Candlestick is Timer (ON for 6 hours-OFF for 18 hours). Needs (2) AA Batteries (not included). Made in the USA",,,,,,,1,14,,,,,1,VickieJeans400,VickieJeans160,692.jpg,692.jpg,,,VickieJeans800,692.jpg,,,,,
Primitive Celebration Nightlight,07-4220,(All) Vicki Jeans Products|All Bulbs|Nightlights,"Primitive Celebration Bulb Nightlight, Inner bulb is replaceable, Item #01-3000 ($1.00).",,,,,,,1,7.5,,,,,1,VickieJeans400,VickieJeans160,485.jpg,485.jpg,,,VickieJeans800,485.jpg,,,,,
Tall Battery Snowball w/ Muffs Candlestick,04-4222,(All) Vicki Jeans Products,"Approx. 9"" Tall Battery-Operated Snowball with Muffs Candlestick on Wooden Base. Candlestick is Timer (ON for 6 hours-OFF for 18 hours). Needs (2) AA Batteries (not included). Made in the USA",,,,,,,1,14,,,,,1,VickieJeans400,VickieJeans160,693.jpg,693.jpg,,,VickieJeans800,693.jpg,,,,,
TeaRose & Shells Moonshower Bulb,01-4223,(All) Vicki Jeans Products|Specialty Bulbs|All Bulbs,"TeaRose & Shells Moonshower Bulb, Inner Bulb is Replaceable Item # 01-1000 ($1.00)",,,,,,,6,4.95,,,,,6,VickieJeans400,VickieJeans160,706.jpg,706.jpg,,,VickieJeans800,706.jpg,,,,,
Maple Leaf Moonshower Bulb,01-4224,(All) Vicki Jeans Products|Specialty Bulbs|All Bulbs,"Maple Leaf Moonshower Bulb, Inner Bulb is Replaceable Item # 01-1000 ($1.00)",,,,,,,6,4.95,,,,,6,VickieJeans400,VickieJeans160,707.jpg,707.jpg,,,VickieJeans800,707.jpg,,,,,
Sunset Moonshower Bulb,01-4226,(All) Vicki Jeans Products|Specialty Bulbs|All Bulbs,"Sunset Moonshower Bulb, Inner Bulb is Replaceable Item # 01-1000 ($1.00)",,,,,,,6,4.95,,,,,6,VickieJeans400,VickieJeans160,709.jpg,709.jpg,,,VickieJeans800,709.jpg,,,,,
Short Battery White Bunny Candlestick,04-4231,(All) Vicki Jeans Products|All Lights,"7"" Short Battery-Operated White Bunny Candlestick on Wooden Base. Candlestick is Timer (ON for 6 hours-OFF for 18 hours). Needs (1) AA Battery (not included). Made in the USA",,,,,,,1,12,,,,,1,VickieJeans400,VickieJeans160,665.jpg,665.jpg,,,VickieJeans800,665.jpg,,,,,
Short Battery Pink Bunny Candlestick,04-4232,(All) Vicki Jeans Products|All Lights,"7"" Short Battery-Operated Pink Bunny Candlestick on Wooden Base. Candlestick is Timer (ON for 6 hours-OFF for 18 hours). Needs (1) AA Battery (not included). Made in the USA",,,,,,,1,12,,,,,1,VickieJeans400,VickieJeans160,668.jpg,668.jpg,,,VickieJeans800,668.jpg,,,,,
Battery Candle Table Lamp (Group of 5),04-4235,(All) Vicki Jeans Products|All Lights,"Tall Battery-Operated Candlesticks in Table Lamp Bases. (Set of 5) Candlesticks are Timer (ON for 6 hours-OFF for 18 hours). Needs (2) AA Batteries (not included). Candlestick Colors: Spicy Rosehip, Cinnamon Clove, Cappuccino, Vanilla Spice & Silver. Made in the USA",,,,,,,1,59.95,,,,,1,VickieJeans400,VickieJeans160,678.jpg,678.jpg,,,VickieJeans800,678.jpg,,,,,
Battery Dog on Log Candlestick,04-4240,(All) Vicki Jeans Products|All Lights,"7"" Battery-Operated Dog on a Log Candlestick. Candlestick is Timer (ON for 6 hours-OFF for 18 hours). Needs (1) AA Battery (not included). Made in the USA",,,,,,,1,12,,,,,1,VickieJeans400,VickieJeans160,664.jpg,664.jpg,,,VickieJeans800,664.jpg,,,,,
Battery Lion Candlestick on Wood Log,04-4241,(All) Vicki Jeans Products|All Lights,"7"" Battery-Operated Lion Candlestick on Wood Log. Candlestick is Timer (ON for 6 hours-OFF for 18 hours). Needs (1) AA Battery (not included). Made in the USA",,,,,,,1,12,,,,,1,VickieJeans400,VickieJeans160,659.jpg,659.jpg,,,VickieJeans800,659.jpg,,,,,
Battery Monkey Candlestick on Wood Log,04-4242,(All) Vicki Jeans Products|All Lights,"7"" Battery-Operated Monkey Candlestick on Wood Log. Candlestick is Timer (ON for 6 hours-OFF for 18 hours). Needs (1) AA Battery (not included). Made in the USA",,,,,,,1,12,,,,,1,VickieJeans400,VickieJeans160,660.jpg,660.jpg,,,VickieJeans800,660.jpg,,,,,
Monkey Bulb,01-4254,(All) Vicki Jeans Products|Specialty Bulbs|All Bulbs,"Monkey Silicone Bulb, Inner Bulb Is Replaceable Item #01-3000 ($1.00).",,,,,,,6,4.95,,,,,6,VickieJeans400,VickieJeans160,502.jpg,502.jpg,,,VickieJeans800,502.jpg,,,,,
Ollie Owl Bulb,01-4257,(All) Vicki Jeans Products|Specialty Bulbs|All Bulbs,"Ollie the Owl Silicone-Dipped Bulb, Inner Bulb Is Replaceable Item #01-3000 ($1.00).",,,,,,,6,4.95,,,,,6,VickieJeans400,VickieJeans160,703.jpg,703.jpg,,,VickieJeans800,703.jpg,,,,,
Sunflower Bulb,01-4259,(All) Vicki Jeans Products|Specialty Bulbs|All Bulbs,Sunflower Silicone-Dipped Bulb. 4 Watt Inner Bulb Is Replaceable - Item #01-4000 ($1.00).,,,,,,,6,4.95,,,,,6,VickieJeans400,VickieJeans160,764.jpg,764.jpg,,,VickieJeans800,764.jpg,,,,,
White Crow Bulb,01-4261,(All) Vicki Jeans Products|Specialty Bulbs|All Bulbs,"""New"" White Crow Silicone Bulb, Inner Bulb Is Replaceable Item # 01-3000 ($1.00)",,,,,,,6,3.95,,,,,6,VickieJeans400,VickieJeans160,750.jpg,750.jpg,,,VickieJeans800,750.jpg,,,,,
