"KELSO ARROW, WOOD",4790-0,(All) HomArt Products|(Home Decor) Top Sellers|(Sale) September Markdowns,Crafted of sustainable and lightweight Kiri Wood our decorative Wood Arrow adds a perfect pop of bohemian decor. Jute hanger not included.,In stock,5.3,,,"length: 18 in
width: 1 in
height: 0.50 in
cube: 0.00
weight: 0.20 lb
material: wood",,6,7,,,,,6,HomArt400,HomArt160,4790-0.jpg,4790-0.jpg,,,HomArt800,4790-0.jpg
GLASS WEDDING CAKE ORNAMENT,49005-0,(All) HomArt Products|(Sale) September Markdowns|Glass Material|Holiday Vintage,"Our ornaments are elegantly handcrafted for a timeless look. Use them on a Christmas tree, or year round to accent decor. Mix and match for visual interest.",In stock,1.25,,,"length: 2 in
width: 2 in
height: 2.50 in
cube: 0.00 cbm
weight: 0.10 lb
material: glass",,6,2.35,,,,,6,HomArt400,HomArt160,49005-0.jpg,49005-0.jpg,,,HomArt800,49005-0.jpg
"Stark Sphere Tealight Hurricane, Metal and Glass",5102-0,(All) HomArt Products|(Sale) September Markdowns|Glass Material|Urban,"Candlelight is a centuries old way to add ambiance, our updated metal bases with glass hurricanes serve just the purpose. They are enchanting when alone and exponentially dramatic when amassed. Fits a standard tealight.",In stock,10.5,,,5.5 x 5.5 x 5.5,,4,14,,,,,4,HomArt400,HomArt160,5102-0.JPG,5102-0.JPG,6.46964E+11,,HomArt800,5102-0.JPG
"BILLY WALL SHELF, WOOD AND IRON - SM",5155-0,(All) HomArt Products|(Home Decor) Top Sellers|(Sale) September Markdowns,"Crafted of iron and wood, the Billy Shelves have a form that eases into any décor and a function that draws the eye to photos, books and gathered objects. Wall mounted with 2 screws, not included.",In stock,19.5,,,"length: 19 in
width: 6 in
height: 7.25 in
weight: 2.60 lb
material: wood, iron",,2,22,,,,,2,HomArt400,HomArt160,5155-0.jpg,5155-0.jpg,,,HomArt800,5155-0.jpg
"RUSSELL SHELF, WOOD AND IRON",5166-0,(All) HomArt Products|(Home Decor) Top Sellers|(Sale) September Markdowns|Urban,A geometric bracket is topped with a wood shelf to offer a display fixture that is nearly as striking as the objects it exhibits.,In stock,21,,,"length: 24 in
width: 8 in
height: 22.50 in
cube: 0.02
weight: 3.20 lb
material: wood, iron",,2,28,,,,,2,HomArt400,HomArt160,5166-0.jpg,5166-0.jpg,,,HomArt800,5166-0.jpg
"Jonas Shelf, Wood & Iron - Sm",5271-2,(All) HomArt Products|(Sale) September Markdowns|Urban,"A display unto themselves, the simple lines of this shelf frames a space to make even the most ordinary of objects take on an air of importance. Metal frame with whitewashed wood shelves.",In stock,19.5,,,12.0 x 7.0 x 12.0,,2,23,,,,,2,HomArt400,HomArt160,5271-2.jpg,5271-2.jpg,6.46964E+11,,HomArt800,5271-2.jpg
"Jonas Shelf, Wood & Iron - Lrg",5272-2,(All) HomArt Products|(Sale) September Markdowns|Urban,"A display unto themselves, the simple lines of this shelf frames a space to make even the most ordinary of objects take on an air of importance. Metal frame with whitewashed wood shelves.",In stock,24,,,16.0 x 7.0 x 16.0,,2,29,,,,,2,HomArt400,HomArt160,5272-2.jpg,5272-2.jpg,6.46964E+11,,HomArt800,5272-2.jpg
HULL HALF ROUND WALL SHELF,5282-0,(All) HomArt Products|(Sale) September Markdowns," Crafted of iron and wood, the Hull Shelf has a minimalist style and a contemporary edge that draws the eye to photos, books and gathered objects. Wall mounted with 2 screws, not included.",In stock,19.9,,,"length: 9.50 in
width: 18.25 in
height: 18.25 in
weight: 2.80 lb
material: wood, metal",,2,24,,,,,2,HomArt400,HomArt160,5282-0.jpg,5282-0.jpg,,,HomArt800,5282-0.jpg
GLASS FLASK 32 OZ - CLEAR,5851-0,(All) HomArt Products|(Home Decor) Top Sellers|(Sale) September Markdowns|Glass Material,"Art and science find harmony in this chemistry inspired glass vase. Collect your favorite stems for a beautiful arrangement, letting minimal design amplify colors and shapes.",In stock,9,,,"length: 5 in
width: 5 in
height: 10 in
diameter: 5 in
weight: 1.40 lb
material: glass",,4,10.75,,,,,4,HomArt400,HomArt160,5851-0.jpg,5851-0.jpg,,,HomArt800,5851-0.jpg
Cut Glass Stripe Hurricane - Lrg - Frost with Gold Stripe,6186-173,(All) HomArt Products|(Sale) September Markdowns|Glass Material,Frosted glass is graced with hand etched gold lines in horizontal repetition. Candle light gives off a subtle glow from within to illuminate space.,In stock,14.3,,,4.5 x 4.5 x 8.0,,2,19,,,,,2,HomArt400,HomArt160,6186-173.jpg,6186-173.jpg,6.46964E+11,,HomArt800,6186-173.jpg
