COKE - 1915 Bottle,#1210,(ALL) TIN SIGNS|Food & Beverage,,,,,,"8.5""W x 16""H",,1,6.85,,,,,1,desperate400,desperate160,D1210 COKE 1915 Bottle.jpg,D1210 COKE 1915 Bottle.jpg,,,desperate800,D1210 COKE 1915 Bottle.jpg,
Monroe - Eternal Beauty,#1214,(ALL) TIN SIGNS|Hollywood & TV,,,,,,"12.5""W x 16""H",,1,6.85,,,,,1,desperate400,desperate160,D1214 Marilyn - Eternal Beauty.jpg,D1214 Marilyn - Eternal Beauty.jpg,,,desperate800,D1214 Marilyn - Eternal Beauty.jpg,
Case Tractor - CC High Clearance,#1230,(ALL) TIN SIGNS|Farm Equipment,,,,,,"16""W x 12.5""H",,1,6.85,,,,,1,desperate400,desperate160,D1230 Case Tractor - CC High Clearance.jpg,D1230 Case Tractor - CC High Clearance.jpg,,,desperate800,D1230 Case Tractor - CC High Clearance.jpg,
COKE - 1800's Logo Weathered,#1235,(ALL) TIN SIGNS|Food & Beverage,,,,,,"16""W x 8.5""H",,1,6.85,,,,,1,desperate400,desperate160,D1235 COKE 1910 logo weathered.jpg,D1235 COKE 1910 logo weathered.jpg,,,desperate800,D1235 COKE 1910 logo weathered.jpg,
Boop - Swimsuits,#1239,(ALL) TIN SIGNS,,,,,,"12.5""WX16""H",,1,6.85,,,,,1,desperate400,desperate160,D1239 Boop Bathing Suits.jpg,D1239 Boop Bathing Suits.jpg,,,desperate800,D1239 Boop Bathing Suits.jpg,
Ford Mustang Boss 302,#1241,(ALL) TIN SIGNS|Automotive,,,,,,"16""W x 12.5""H",,1,6.85,,,,,1,desperate400,desperate160,D1241 Mustang Boss 302.jpg,D1241 Mustang Boss 302.jpg,,,desperate800,D1241 Mustang Boss 302.jpg,
Uncle Remus Syrup,#125,(ALL) TIN SIGNS|Food & Beverage,,,,,,"16""W x 12.5""H",,1,6.85,,,,,1,desperate400,desperate160,D125 Uncle Remus Syrup.jpg,D125 Uncle Remus Syrup.jpg,,,desperate800,D125 Uncle Remus Syrup.jpg,
Moore - Me Booty,#1256,(ALL) TIN SIGNS|Humorous Signs,,,,,,"12.5""W x 16""H",,1,6.85,,,,,1,desperate400,desperate160,D1256 Moore - Me Booty.jpg,D1256 Moore - Me Booty.jpg,,,desperate800,D1256 Moore - Me Booty.jpg,
Erickson - Golden Gate,#1266,(ALL) TIN SIGNS|Illustrators,,,,,,"12.5""W x 16""H",,1,6.85,,,,,1,desperate400,desperate160,D1266 Erickson - SF Golden Gate.jpg,D1266 Erickson - SF Golden Gate.jpg,,,desperate800,D1266 Erickson - SF Golden Gate.jpg,
T'Bird - Beach Scene,#1271,(ALL) TIN SIGNS,,,,,,"16""W x 12.5""H",,1,6.85,,,,,1,desperate400,desperate160,D1271 T-BIRD Beach Scene.jpg,D1271 T-BIRD Beach Scene.jpg,,,desperate800,D1271 T-BIRD Beach Scene.jpg,
