"5.75X5.75X10""H METAL WHITE BELL W/RED BOW W/ROPE HANGER 0/6 EA LIST PRICE: $8.25 EA $8.25 MIN 6 EA $7.43 MIN 12 EA $6.60 MIN 24 EA",CHA436,Back to A Holly Jolly Christmas,,In Stock,,,,,,6,$8.25 ,12,$7.43 ,24,$6.60 ,6,DCI400,DCI160,https://shopdci.com/images/products/detail/desktop/CHA436.JPG,CHA436.JPG,6.09016E+11,,DCI800,CHA436.JPG
"5.75X5.75X10""H METAL RED BELL W/WHITE BOW W/ROPE HANGER 0/12 EA LIST PRICE: $8.25 EA $8.25 MIN 6 EA $7.43 MIN 12 EA $6.60 MIN 24 EA",CHA437,Back to A Holly Jolly Christmas,,In Stock,,,,,,6,$8.25 ,12,$7.43 ,24,$6.60 ,6,DCI400,DCI160,https://shopdci.com/images/products/detail/desktop/CHA437.JPG,CHA437.JPG,6.09016E+11,,DCI800,CHA437.JPG
"5.75X5.75X10""H METAL GALVANIZED BELL W/RED BOW W/ROPE HANGER 0/12 EA LIST PRICE: $8.25 EA $8.25 MIN 6 EA $7.43 MIN 12 EA $6.60 MIN 24 EA",CHA438,Back to A Holly Jolly Christmas,,In Stock,,,,,,6,$8.25 ,12,$7.43 ,24,$6.60 ,6,DCI400,DCI160,https://shopdci.com/images/products/detail/desktop/CHA438.JPG,CHA438.JPG,6.09016E+11,,DCI800,CHA438.JPG
"4.25X4.25X5""H METAL LIBERTY BELL W/ROPE HANGER RED/WHITE/GREEN 3 ASST 0/12 EA LIST PRICE: $2.85 EA $2.85 MIN 12 EA $2.57 MIN 24 EA $2.28 MIN 48 EA",CHA439,Back to A Holly Jolly Christmas,,Out of Stock,,,,,,12,$2.85 ,24,$2.57 ,48,$2.28 ,12,DCI400,DCI160,https://shopdci.com/images/products/detail/desktop/CHA439.JPG,CHA439.JPG,6.09016E+11,,DCI800,CHA439.JPG
"4"" MERCURY GLASS BALL ONION & FINIAL W/RED BOW 3 ASST SILVER/RED/BLACK/WHITE PLAID 6/36 EA LIST PRICE: $6.25 EA $6.25 MIN 12 EA $5.63 MIN 24 EA $5.00 MIN 72 EA",CHT295,Back to A Holly Jolly Christmas,,In Stock,,,,,,12,$6.25 ,24,$5.63 ,72,$5.00 ,12,DCI400,DCI160,https://shopdci.com/images/products/detail/desktop/CHT295.JPG,CHT295.JPG,6.09016E+11,,DCI800,CHT295.JPG
"4"" MERCURY GLASS BALL ONION & FINIAL 3 ASST W/RED BOW RED/WHITE/BLACK PLAID 6/36 EA LIST PRICE: $6.25 EA $6.25 MIN 12 EA $5.63 MIN 24 EA $5.00 MIN 72 EA",CHT296,Back to A Holly Jolly Christmas,,In Stock,,,,,,12,$6.25 ,24,$5.63 ,72,$5.00 ,12,DCI400,DCI160,https://shopdci.com/images/products/detail/desktop/CHT296.JPG,CHT296.JPG,6.09016E+11,,DCI800,CHT296.JPG
"4"" GLASS RED/GREEN/BLACK/GOLD PLAID BALL ONION & FINIAL ORNAMENT 3 ASST 6/36 EA LIST PRICE: $5.85 EA $5.85 MIN 12 EA $5.27 MIN 24 EA $4.68 MIN 72 EA",CHT297,Back to A Holly Jolly Christmas,,In Stock,,,,,,12,$5.85 ,24,$5.27 ,72,$4.68 ,12,DCI400,DCI160,https://shopdci.com/images/products/detail/desktop/CHT297.JPG,CHT297.JPG,6.09016E+11,,DCI800,CHT297.JPG
"4.75"" GLASS RED/GREEN/BLACK/GOLD PLAID BALL ONION & FINIAL ORNAMENT 3 ASST 6/24 EA LIST PRICE: $8.75 EA $8.75 MIN 12 EA $7.88 MIN 24 EA $7.00 MIN 48 EA",CHT326,Back to A Holly Jolly Christmas,,In Stock,,,,,,12,$8.75 ,24,$7.88 ,48,$7.00 ,12,DCI400,DCI160,https://shopdci.com/images/products/detail/desktop/CHT326.JPG,CHT326.JPG,6.09016E+11,,DCI800,CHT326.JPG
"15.75X1.75X21.75""H METAL/WOOD ORNAMENT BALL FRAMED ADVENT CALENDAR 0/2 EA LIST PRICE: $29.95 EA $29.95 MIN 2 EA $26.96 MIN 4 EA $23.96 MIN 8 EA",CNG297,Back to A Holly Jolly Christmas,,In Stock,,,,,,2,$29.95 ,4,$26.96 ,8,$23.96 ,2,DCI400,DCI160,https://shopdci.com/images/products/detail/desktop/CNG297.JPG,CNG297.JPG,6.09016E+11,,DCI800,CNG297.JPG
"5X5X5.5""H METAL JINGLE BELL W/ROPE ANTIQUE TIN/RED BOW 6/48 EA LIST PRICE: $7.50 EA $7.50 MIN 6 EA $6.75 MIN 12 EA $6.00 MIN 48 EA",CNG309,Back to A Holly Jolly Christmas,,In Stock,,,,,,6,$7.50 ,12,$6.75 ,48,$6.00 ,6,DCI400,DCI160,https://shopdci.com/images/products/detail/desktop/CNG309.JPG,CNG309.JPG,6.09016E+11,,DCI800,CNG309.JPG
"5X5X5.5""H METAL RED STAR JINGLE BELL W/WHITE BOW W/ROPE 6/48 EA LIST PRICE: $7.50 EA $7.50 MIN 6 EA $6.75 MIN 12 EA $6.00 MIN 48 EA",CNG310,Back to A Holly Jolly Christmas,,In Stock,,,,,,6,$7.50 ,12,$6.75 ,48,$6.00 ,6,DCI400,DCI160,https://shopdci.com/images/products/detail/desktop/CNG310.JPG,CNG310.JPG,6.09016E+11,,DCI800,CNG310.JPG
