[u'8054'],"8""X12"" Pine Board",Home /|New Mexico Flag,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/0/8054.jpg
"[u'6067', u'Beach', u'Vacation']","0



6x30 inches

Beach Vacation: relaxing susets,cool drinks,and sand between your toes.","Home /|Beach Vacation: relaxing susets,cool drinks,and sand between your toes.",https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_5_29.jpg,"['*Color Combinations', '', '-- Please Select --|Cream board w/ Black text |Black board w/ white text |Sage Green board w/ Black text |Country Blue board w/ white text |Red board w/ tan text |Mustard board w/ black text |Give me the best color combo(s) available ']"
[u'8039'],"0



8""x18"" inches

*Respect for self.
*Respect for others.
*Responsible for your own actions.",Home /|the 3 R's,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/0/8039.jpg,"['*Color Combinations', '', '-- Please Select --|Cream board w/ Black text |Black board w/ Cream text |Sage Green board w/ Black text |Burgundy Red board w/ Cream text |Mustard board w/ black text |Give me the best color combo(s) available |Country Blue board w/ white text ']"
[u'019'],"6X10

One of Lorna's first hand cut stencils from 1990.","Home /|Merry Christmas 6""X10""",https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/0/1/019_2.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|As Showen |Cream board w/ Burgundy Red text |Cream board w/ Hunter Green Text |Crackle Cream board w/ Hunter Green text |Crackle Cream board w/ Burgundy Red text |Give me the best color combo(s) available ']"
[u'6039'],"6x36 inches
Truly Great Friends..hard to find, difficult to leave, and impossible to forget","Home /|Truly Great Friends..hard to find, difficult to leave, and impossible to forget",https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/6/0/6039.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Burgundy Red board w/ Cream text |Black board w/ Cream text |Sage Green board w/ Black text |Cream board w/ Black text |Mustard board w/ Black text |Country Blue board w/ White text |Give me the best color combo(s) available ']"
[u'4028'],"4x24 inches

0",Home /|Bathing suits optional,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/4/0/4028-bathing_suits_optional.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Give me the best color combo(s) available |Black board w/ Cream text |Sage Green board w/ Black text |Cream board w/ Black text |Mustard board w/ Black text |Country Blue board w/ White text |Burgundy Red board w/ Cream text ']"
[u'6072'],"6x24 inches

0","Home /|Summertime, Summertime, Sum, Sum, Sumertime",https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_5_63.jpg,"['*Color Combinations', '', '-- Please Select --|Cream board w/ Black text |Black board w/ Cream text |Sage Green board w/ Black text |Burgundy Red board w/ Cream text |Mustard board w/ Black text |Country Blue board w/ Black text |Give me the best color combo(s) available ']"
[u'4037'],"4x36 inches Sure is true.

0","Home /|When you change the way you look at things, things change.",https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/4/0/4037.jpg,"['*Color Combinations', '', '-- Please Select --|Cream board w/ Black text |Black board w/ Cream text |Mustard board w/ black text |Sage Green board w/ Black text |Country Blue board w/ white text |Burgandy Red board w/ cream text  |Give me the best color combo(s) available ']"
"[u'Item', u'102']",3x9 inches,Home /|Welcome (mini),https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/0/102.gif,"['*Color Combinations', '', '-- Please Select --|Cream board w/ Black text |Cream board w/ Navy Blue text |Cream board w/ Hunter Green text |Cream board w/ Burgundy Red text |Crackle Cream board w/ Black text |Crackle Cream board w/ Navy Blue text |Crackle Cream board w/ Hunter Green text |Crackle Cream board w/ Burgundy Red text |White board w/ Black text |White board w/ Wedgewood Blue text |White board w/ Sage Green text |White board w/ Rose text |White board w/ Mustard text |Crackle White board w/ Black text |Crackle White board w/ Wedgewood Blue text |Crackle White board w/ Sage Green text |Crackle White board w/ Rose text |Crackle White board w/ Mustard text |Black board w/ Cream text |Navy Blue board w/ Cream text |Hunter Green board w/ Cream text |Sage Green board w/ White text |Sage Green board w/ Black text |Burgundy Red board w/ Cream text |Give me the best color combo(s) available ']"
[u'6033'],6x18 inches,Home /|Old friends grow more precious with time,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/6/0/6033.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Burgundy Red board w/ Cream text |Black board w/ Cream text |Sage Green board w/ Black text |Cream board w/ Black text |Mustard board w/ Black text |Country Blue board w/ White text |Give me the best color combo(s) available ']"
[u'741'],20x4 inches,Home /|Beach w/arrow (vertical),https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/4/741_1.jpg,"['*Color Combinations', '', '-- Please Select --|Cream board w/ Black text |Cream board w/ Navy Blue text |Cream board w/ Hunter Green text |Cream board w/ Burgundy Red text |Crackle Cream board w/ Black text |Crackle Cream board w/ Navy Blue text |Crackle Cream board w/ Hunter Green text |Crackle Cream board w/ Burgundy Red text |White board w/ Black text |White board w/ Wedgewood Blue text |White board w/ Sage Green text |White board w/ Rose text |White board w/ Mustard text |Crackle White board w/ Black text |Crackle White board w/ Wedgewood Blue text |Crackle White board w/ Sage Green text |Crackle White board w/ Rose text |Crackle White board w/ Mustard text |Black board w/ Cream text |Navy Blue board w/ Cream text |Hunter Green board w/ Cream text |Sage Green board w/ White text |Sage Green board w/ Black text |Burgundy Red board w/ Cream text |Give me the best color combo(s) available ']"
