gold antique mercury glass geometric star ornament,LC7156,,,,,,,"mercury glass and glitter. 2 1/4"" x 2"".",,,,,,,,,Bethany400,Bethany160,https://bethanylowe.com/media/2017/11/LC7156-317x378.jpg,LC7156-317x378.jpg,,,Bethany800,LC7156-317x378.jpg
pastel honeycomb glass ornament,LC7158,,,,,,,"mercury glass and glitter. 3 1/2"" x 3"".",,,,,,,,,Bethany400,Bethany160,https://bethanylowe.com/media/2017/11/LC7158-317x378.jpg,LC7158-317x378.jpg,,,Bethany800,LC7158-317x378.jpg
pink flea market metallic glass ball ornament,LC7159,,,,,,,"glass and beads. 2 1/4"" diameter.",,,,,,,,,Bethany400,Bethany160,https://bethanylowe.com/media/2017/11/LC7159-317x378.jpg,LC7159-317x378.jpg,,,Bethany800,LC7159-317x378.jpg
pastel encrusted onion glass ornament,LC7160,,,,,,,"mercury glass, glitter, sequins and bead mixture.three assorted. 4 "" x 3 1/2"".",,,,,,,,,Bethany400,Bethany160,https://bethanylowe.com/media/2017/11/LC7160-317x378.jpg,LC7160-317x378.jpg,,,Bethany800,LC7160-317x378.jpg
aqua geometric teardrop ornament,LC7161,,,,,,,"mercury glass. 5 1/4"" x 2 3/4"".",,,,,,,,,Bethany400,Bethany160,https://bethanylowe.com/media/2017/11/LC7161-317x378.jpg,LC7161-317x378.jpg,,,Bethany800,LC7161-317x378.jpg
pink geometric teardrop ornament,LC7162,,,,,,,"mercury glass. 6 1/4"" x 2"".",,,,,,,,,Bethany400,Bethany160,https://bethanylowe.com/media/2017/11/LC7162-317x378.jpg,LC7162-317x378.jpg,,,Bethany800,LC7162-317x378.jpg
pastel glass finial ornament,LC7163,,,,,,,"glass and glitter. 6 1/4"" x 2"".",,,,,,,,,Bethany400,Bethany160,https://bethanylowe.com/media/2017/11/LC7163-317x378.jpg,LC7163-317x378.jpg,,,Bethany800,LC7163-317x378.jpg
pastel glass eiffel tower ornament,LC7165,,,,,,,"glass and glitter. 5"" x 2"".",,,,,,,,,Bethany400,Bethany160,https://bethanylowe.com/media/2017/11/LC7165-317x378.jpg,LC7165-317x378.jpg,,,Bethany800,LC7165-317x378.jpg
pastel blue glass country house ornament,LC7166,,,,,,,"glass, deco beads and glitter. 3 1/2"" x 4"".",,,,,,,,,Bethany400,Bethany160,https://bethanylowe.com/media/2017/11/LC7166-317x378.jpg,LC7166-317x378.jpg,,,Bethany800,LC7166-317x378.jpg
humming bird clip ornament,LC7167,,,,,,,"glass, glitter and plastic fibers. 3 1/2"" x 6 1/4"".",,,,,,,,,Bethany400,Bethany160,https://bethanylowe.com/media/2017/11/LC7167-317x378.jpg,LC7167-317x378.jpg,,,Bethany800,LC7167-317x378.jpg
vintage seal ornament,LC7168,,,,,,,"mercury glass, glitter and bead mixture. 2 3/4"" x 4 1/2"".",,,,,,,,,Bethany400,Bethany160,https://bethanylowe.com/media/2017/11/LC7168-317x378.jpg,LC7168-317x378.jpg,,,Bethany800,LC7168-317x378.jpg
vintage donkey ornament,LC7170,,,,,,,"mercury glass, glitter and bead mixture. 3 3/4"" x 4"".",,,,,,,,,Bethany400,Bethany160,https://bethanylowe.com/media/2017/11/LC7170-317x378.jpg,LC7170-317x378.jpg,,,Bethany800,LC7170-317x378.jpg
