Always Believe,11477,Home|Collections|Hand Drawn Doodles,,,,,,"Product Size: 5 1/4"" x 7 1/2""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/11477.jpg,11477.jpg,Romans 8:28,,Lighthouse800,11477.jpg
Stand Firm,11587,Home|Plaques|Desktop Reminder Plaques,,,,,,"Product Size: 6 1/2"" x 2"" x 2 1/4""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/11587.jpg,11587.jpg,1 Corinthians 15:58,,Lighthouse800,11587.jpg
Work Unto the Lord,11588,Home|Plaques|Desktop Reminder Plaques,,,,,,"Product Size: 6 1/2"" x 2"" x 2 1/4""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/11588.jpg,11588.jpg,Colossians 3:23,,Lighthouse800,11588.jpg
I Can Do All Things,11589,Home|Plaques|Desktop Reminder Plaques,,,,,,"Product Size: 6 1/2"" x 2"" x 2 1/4""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/11589.jpg,11589.jpg,Philippians 4:13,,Lighthouse800,11589.jpg
Mr. & Mrs.,12245,Home|Seasonal Product|Silver Ornament Frames,,,,,,"Product Size: 3 3/4"" x 3""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/12245.jpg,12245.jpg,"Eph. 5:2, 1 Cor. 13:7-8",,Lighthouse800,12245.jpg
I Love You Mom,12246,Home|Seasonal Product|Silver Ornament Frames,,,,,,"Product Size: 3 3/4"" x 3""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/12246.jpg,12246.jpg,"1 Cor. 1:4, Phil. 1:7",,Lighthouse800,12246.jpg
I Love You Dad,12247,Home|Seasonal Product|Silver Ornament Frames,,,,,,"Product Size: 3 3/4"" x 3""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/12247.jpg,12247.jpg,"1 Cor. 1:4, Phil. 1:7",,Lighthouse800,12247.jpg
I Love You Grandma,12248,Home|Seasonal Product|Silver Ornament Frames,,,,,,"Product Size: 3 3/4"" x 3""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/12248.jpg,12248.jpg,"1 Cor. 1:4, Phil. 1:7",,Lighthouse800,12248.jpg
I Love You Grandpa,12249,Home|Seasonal Product|Silver Ornament Frames,,,,,,"Product Size: 3 3/4"" x 3""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/12249.jpg,12249.jpg,"1 Cor. 1:4, Phil. 1:7",,Lighthouse800,12249.jpg
Christmas 2018,12281,Home|Seasonal Product|Silver Ornament Frames,,,,,,"Product Size: 3 3/4"" x 3""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/12281.jpg,12281.jpg,Luke 2:11,,Lighthouse800,12281.jpg
Believe,12282,Home|Seasonal Product|Scripture Ink Baubles,,,,,,"Product Size: 4"" diameter",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/12282.jpg,12282.jpg,Isaiah 9:6,,Lighthouse800,12282.jpg
Hope,12283,Home|Seasonal Product|Scripture Ink Baubles,,,,,,"Product Size: 4"" diameter",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/12283.jpg,12283.jpg,Romans 15:13,,Lighthouse800,12283.jpg
Joy,12284,Home|Seasonal Product|Scripture Ink Baubles,,,,,,"Product Size: 4"" diameter",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/12284.jpg,12284.jpg,John 3:16,,Lighthouse800,12284.jpg
Love,12286,Home|Seasonal Product|Scripture Ink Baubles,,,,,,"Product Size: 4"" diameter",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/12286.jpg,12286.jpg,Luke 2:10-11,,Lighthouse800,12286.jpg
Jesus,12367,Home|Seasonal Product|Tree Ornaments,,,,,,"Product Size: 3 3/4"" x 5""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/12367.jpg,12367.jpg,Isaiah 9:6,,Lighthouse800,12367.jpg
Christmas,12368,Home|Seasonal Product|Tree Ornaments,,,,,,"Product Size: 3 3/4"" x 5""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/12368.jpg,12368.jpg,Luke 2:10-11,,Lighthouse800,12368.jpg
Believe,12369,Home|Seasonal Product|Tree Ornaments,,,,,,"Product Size: 3 3/4"" x 5""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/12369.jpg,12369.jpg,John 3:16,,Lighthouse800,12369.jpg
Believe,12386,Home|Seasonal Product|Red Barnwood Ornaments,,,,,,"Product Size: 4"" x 4 7/8""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/12386.jpg,12386.jpg,John 3:16,,Lighthouse800,12386.jpg
Jesus,12387,Home|Seasonal Product|Red Barnwood Ornaments,,,,,,"Product Size: 3"" x 5 1/2""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/12387.jpg,12387.jpg,Isaiah 9:6,,Lighthouse800,12387.jpg
Joy,12388,Home|Seasonal Product|Red Barnwood Ornaments,,,,,,"Product Size: 4 3/4"" x 5""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/12388.jpg,12388.jpg,Romans 15:13,,Lighthouse800,12388.jpg
Faith,12389,Home|Seasonal Product|Red Barnwood Ornaments,,,,,,"Product Size: 4"" x 4 7/8""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/12389.jpg,12389.jpg,Luke 1:37,,Lighthouse800,12389.jpg
Hope,12390,Home|Seasonal Product|Red Barnwood Ornaments,,,,,,"Product Size: 4 3/4"" x 5""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/12390.jpg,12390.jpg,Matthew 12:21,,Lighthouse800,12390.jpg
Cross,12391,Home|Seasonal Product|Red Barnwood Ornaments,,,,,,"Product Size: 3 3/4"" x 5 1/4""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/12391.jpg,12391.jpg,Luke 2:11,,Lighthouse800,12391.jpg
Beloved,12554,Home|Seasonal Product|Vintage Hearts Series,,,,,,"Product Size: 3 1/2"" x 3 1/2""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/12554.jpg,12554.jpg,Matthew 12:18,,Lighthouse800,12554.jpg
Faith,12578,Home|Seasonal Product|Reflecting God's Love Heart Ornament,,,,,,"Product Size: 3 1/2"" x 3 1/2""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/12578.jpg,12578.jpg,Matthew 19:26,,Lighthouse800,12578.jpg
Our First Home,12622,Home|Seasonal Product|Special Moments Ornaments,,,,,,"Product Size: 4"" diameter",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/12622.jpg,12622.jpg,Luke 10:5,,Lighthouse800,12622.jpg
Our First Christmas As Mr. & Mrs.,12623,Home|Seasonal Product|Special Moments Ornaments,,,,,,"Product Size: 4"" diameter",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/12623.jpg,12623.jpg,Mark 10:8,,Lighthouse800,12623.jpg
Baby's First Christmas-Pink,12624,Home|Seasonal Product|Special Moments Ornaments,,,,,,"Product Size: 4"" diameter",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/12624.jpg,12624.jpg,Jeremiah 1:5,,Lighthouse800,12624.jpg
Baby's First Christmas-Blue,12625,Home|Seasonal Product|Special Moments Ornaments,,,,,,"Product Size: 4"" diameter",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/12625.jpg,12625.jpg,Jeremiah 1:5,,Lighthouse800,12625.jpg
Mom,12626,Home|Seasonal Product|With Love Ornaments,,,,,,"Product Size: 2 1/4'"" x 2 1/4'""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/12626.jpg,12626.jpg,Philippians 1:7,,Lighthouse800,12626.jpg
Dad,12627,Home|Seasonal Product|With Love Ornaments,,,,,,"Product Size: 2 1/4'"" x 2 1/4'""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/12627.jpg,12627.jpg,Philippians 1:7,,Lighthouse800,12627.jpg
Grandma,12628,Home|Seasonal Product|With Love Ornaments,,,,,,"Product Size: 2 1/4'"" x 2 1/4'""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/12628.jpg,12628.jpg,Philippians 1:7,,Lighthouse800,12628.jpg
Special Place,12629,Home|Seasonal Product|With Love Ornaments,,,,,,"Product Size: 2 1/4'"" x 2 1/4'""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/12629.jpg,12629.jpg,Philippians 1:7,,Lighthouse800,12629.jpg
Jesus,12657,Home|Seasonal Product|Silhouette Ornaments,,,,,,"Product Size: 3 1/2"" x 4""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/12657.jpg,12657.jpg,Luke 2:10-11,,Lighthouse800,12657.jpg
The Giving Plate,12796,Home|Seasonal Product|Snowflake Giving Plate,,,,,,"Product Size: 9 1/2"" diameter",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/12796.jpg,12796.jpg,Psalm 103:5,,Lighthouse800,12796.jpg
You Are Amazing,15061,Home|Collections|Pretty Prints,,,,,,Product Size: 12 ounces,,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/15061.jpg,15061.jpg,Proverbs 31:25,,Lighthouse800,15061.jpg
You Are Loved,15062,Home|Collections|Pretty Prints,,,,,,Product Size: 12 ounces,,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/15062.jpg,15062.jpg,Isaiah 43:4,,Lighthouse800,15062.jpg
You Are A Blessing,15063,Home|Collections|Pretty Prints,,,,,,Product Size: 12 ounces,,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/15063.jpg,15063.jpg,Philemon 1:7,,Lighthouse800,15063.jpg
Strong and Courageous,15065,Home|Collections|Pretty Prints,,,,,,Product Size: 12 ounces,,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/15065.jpg,15065.jpg,Matthew 19:26,,Lighthouse800,15065.jpg
Dad,15496,Home|Collections|Dad Stand Firm,,,,,,Product Size: 17 ounces,,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/15496.jpg,15496.jpg,1 Corinthians 16:13-14,,Lighthouse800,15496.jpg
Cream Frame,17050,Home|Collections|Little Adventurer,,,,,,"Product Size: 8"" x 6 1/2""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/17050.jpg,17050.jpg,Genesis 28:15,,Lighthouse800,17050.jpg
Pink Frame,17051,Home|Collections|Little Adventurer,,,,,,"Product Size: 8"" x 6 1/2""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/17051.jpg,17051.jpg,Genesis 28:15,,Lighthouse800,17051.jpg
Blue Frame,17052,Home|Collections|Little Adventurer,,,,,,"Product Size: 8"" x 6 1/2""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/17052.jpg,17052.jpg,Genesis 28:15,,Lighthouse800,17052.jpg
Blessed Baby Sonogram,17109,Home|Collections|Blessed Baby,,,,,,"Product Size: 5 3/4"" x 4 1/2""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/17109.jpg,17109.jpg,Psalm 139:14,,Lighthouse800,17109.jpg
Mr. & Mrs.,17150,Home|Collections|Handwritten Mr and Mrs,,,,,,"Product Size: 10 1/4"" x 8""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/17150.jpg,17150.jpg,Song of Songs 3:4,,Lighthouse800,17150.jpg
