LOTUS TEA LIGHT HOLDER - TEAL,7637-14,,"HomArt Lotus Tea Light Holders are true works of art. Each lovely, simple flower is hand-crafted by HomArt artisans; each petal, hand-formed. Then each ceramic piece is given a hand-applied color glaze and a carefully crackled finish. So while they are the same, no two are exactly alike. These versatile tea light holders fit any décor—they are an elegant and sophisticated decoration in a formal setting or will act as a festive, fun accent for casual settings, indoors or in the garden. Offered in an array of appealing soft colors, choose one or several, as they all coordinate beautifully with each other and with many styles of decoration. They are thoughtful, affordable gifts, sure to be appreciated, and are also a great addition to a gift basket for any occasion. Designed to hold a single tea light, HomArt’s Lotus Tea Light Holder measures 5.5 x 5.5 x 3 inches.",,,,,"length: 5 in
width: 5 in
height: 2.75 in
diameter: 5 in
cube: 0.00
weight: 1.09 lb 0.49 kg
material: ceramic",,4,$6.25 ,16,$5.75 ,,,4,homart400,homart160,../images/products/ZOOM/desktop/7637-14.JPG,7637-14.JPG,,,homart800,7637-14.JPG
LOTUS TEA LIGHT HOLDER - YELLOW,7637-15,,"HomArt Lotus Tea Light Holders are true works of art. Each lovely, simple flower is hand-crafted by HomArt artisans; each petal, hand-formed. Then each ceramic piece is given a hand-applied color glaze and a carefully crackled finish. So while they are the same, no two are exactly alike. These versatile tea light holders fit any décor—they are an elegant and sophisticated decoration in a formal setting or will act as a festive, fun accent for casual settings, indoors or in the garden. Offered in an array of appealing soft colors, choose one or several, as they all coordinate beautifully with each other and with many styles of decoration. They are thoughtful, affordable gifts, sure to be appreciated, and are also a great addition to a gift basket for any occasion. Designed to hold a single tea light, HomArt’s Lotus Tea Light Holder measures 5.5 x 5.5 x 3 inches.",,,,,"length: 5 in
width: 5 in
height: 2.75 in
diameter: 5 in
cube: 0.00
weight: 1.09 lb 0.49 kg
material: ceramic",,4,$6.25 ,16,$5.75 ,,,4,homart400,homart160,../images/products/ZOOM/desktop/7637-15.JPG,7637-15.JPG,,,homart800,7637-15.JPG
LOTUS TEA LIGHT HOLDER - PINK,7637-16,,"HomArt Lotus Tea Light Holders are true works of art. Each lovely, simple flower is hand-crafted by HomArt artisans; each petal, hand-formed. Then each ceramic piece is given a hand-applied color glaze and a carefully crackled finish. So while they are the same, no two are exactly alike. These versatile tea light holders fit any décor—they are an elegant and sophisticated decoration in a formal setting or will act as a festive, fun accent for casual settings, indoors or in the garden. Offered in an array of appealing soft colors, choose one or several, as they all coordinate beautifully with each other and with many styles of decoration. They are thoughtful, affordable gifts, sure to be appreciated, and are also a great addition to a gift basket for any occasion. Designed to hold a single tea light, HomArt’s Lotus Tea Light Holder measures 5.5 x 5.5 x 3 inches.",,,,,"length: 5 in
width: 5 in
height: 2.75 in
diameter: 5 in
cube: 0.00
weight: 1.09 lb 0.49 kg
material: ceramic",,4,$6.25 ,16,$5.75 ,,,4,homart400,homart160,../images/products/ZOOM/desktop/7637-16.JPG,7637-16.JPG,,,homart800,7637-16.JPG
LOTUS TEA LIGHT HOLDER - GREEN,7637-3,,"HomArt Lotus Tea Light Holders are true works of art. Each lovely, simple flower is hand-crafted by HomArt artisans; each petal, hand-formed. Then each ceramic piece is given a hand-applied color glaze and a carefully crackled finish. So while they are the same, no two are exactly alike. These versatile tea light holders fit any décor—they are an elegant and sophisticated decoration in a formal setting or will act as a festive, fun accent for casual settings, indoors or in the garden. Offered in an array of appealing soft colors, choose one or several, as they all coordinate beautifully with each other and with many styles of decoration. They are thoughtful, affordable gifts, sure to be appreciated, and are also a great addition to a gift basket for any occasion. Designed to hold a single tea light, HomArt’s Lotus Tea Light Holder measures 5.5 x 5.5 x 3 inches.",,,,,"length: 5 in
width: 5 in
height: 2.75 in
diameter: 5 in
cube: 0.00
weight: 1.09 lb 0.49 kg
material: ceramic",,4,$6.25 ,16,$5.75 ,,,4,homart400,homart160,../images/products/ZOOM/desktop/7637-3.JPG,7637-3.JPG,,,homart800,7637-3.JPG
LOTUS TEA LIGHT HOLDER - WHITE,7637-6,,"HomArt Lotus Tea Light Holders are true works of art. Each lovely, simple flower is hand-crafted by HomArt artisans; each petal, hand-formed. Then each ceramic piece is given a hand-applied color glaze and a carefully crackled finish. So while they are the same, no two are exactly alike. These versatile tea light holders fit any décor—they are an elegant and sophisticated decoration in a formal setting or will act as a festive, fun accent for casual settings, indoors or in the garden. Offered in an array of appealing soft colors, choose one or several, as they all coordinate beautifully with each other and with many styles of decoration. They are thoughtful, affordable gifts, sure to be appreciated, and are also a great addition to a gift basket for any occasion. Designed to hold a single tea light, HomArt’s Lotus Tea Light Holder measures 5.5 x 5.5 x 3 inches.",,,,,"length: 5 in
width: 5 in
height: 2.75 in
diameter: 5 in
cube: 0.00
weight: 1.09 lb 0.49 kg
material: ceramic",,4,$6.25 ,16,$5.75 ,,,4,homart400,homart160,../images/products/ZOOM/desktop/7637-6.JPG,7637-6.JPG,,,homart800,7637-6.JPG
SUCCULENT TEALIGHT HOLDER - PALE BLUE,7664-29,,"Inspired by fresh botanicals, the HomArt Succulent Tealight Holder features a small succulent design crafted from ceramic. This tealight holder comes in a selection of available finishes, making it easy to pair with any space.",,,,,"length: 5 in
width: 5 in
height: 3 in
cube: 0.00 cbm
weight: 1.50 lb
material: ceramic",,4,$10.50 ,16,$9.75 ,,,4,homart400,homart160,../images/products/ZOOM/desktop/7664-29.jpg,7664-29.jpg,,,homart800,7664-29.jpg
SUCCULENT TEALIGHT HOLDER - BLUE,7665-14,,"Inspired by fresh botanicals, the HomArt Succulent Tealight Holder features a small succulent design crafted from ceramic. This tealight holder comes in a selection of available finishes, making it easy to pair with any space.",,,,,"length: 5 in
width: 5 in
height: 3 in
cube: 0.00 cbm
weight: 1.75 lb
material: ceramic",,4,$10.50 ,16,$9.75 ,,,4,homart400,homart160,../images/products/ZOOM/desktop/7665-14.jpg,7665-14.jpg,,,homart800,7665-14.jpg
CERAMIC SUCCULENT - SM,7666-29,,Enjoy the ease of gardening by adorning your environment with these ceramic succulents. Aside from the watercolor pallet there is no water required!,,,,,"length: 3 in
width: 3 in
height: 1.75 in
cube: 0.00 cbft
weight: 0.29 lb
material: ceramic",,4,$3.50 ,16,$3.20 ,,,4,homart400,homart160,../images/products/ZOOM/desktop/7666-29.jpg,7666-29.jpg,,,homart800,7666-29.jpg
CERAMIC SUCCULENT - MED,7667-14,,Enjoy the ease of gardening by adorning your environment with these ceramic succulents. Aside from the watercolor pallet there is no water required!,,,,,"length: 4 in
width: 4 in
height: 2 in
cube: 0.00 cbft
weight: 0.64 lb
material: ceramic",,4,$5.00 ,16,$4.60 ,,,4,homart400,homart160,../images/products/ZOOM/desktop/7667-14.jpg,7667-14.jpg,,,homart800,7667-14.jpg
CERAMIC SUCCULENT - LRG,7668-3,,Enjoy the ease of gardening by adorning your environment with these ceramic succulents. Aside from the watercolor pallet there is no water required!,,,,,"length: 5.50 in
width: 5.50 in
height: 3.50 in
cube: 0.00 cbft
weight: 1.32 lb
material: ceramic",,4,$9.25 ,16,$8.50 ,,,4,homart400,homart160,../images/products/ZOOM/desktop/7668-3.jpg,7668-3.jpg,,,homart800,7668-3.jpg
