Grandma's Kitchen Candle Bars ,,,,,,,,,1,$4.00 ,N/A,0.56
Grandma's Kitchen Buttons (Box of 36),,,,,,,,,1,$20.00 ,4,$39 
Grandma's Kitchen Reed Gardens 4oz,,,,,,,,,1,$6.50 ,6,
Grandma's Kitchen Display Jar Classic Label,,,,,,,,,1,$12.50 ,1,
Grandma's Kitchen Display Jar Black & Gold Label,,,,,,,,,1,$12.50 ,1,
Grapefruit Mélange Classic Jar Candle 16oz,,,,,,,,,3,$9.50 ,12,$114 
Grapefruit Mélange Classic Jar Candle 26oz,,,,,,,,,3,$12.00 ,12,$144 
Grapefruit Mélange Double Wick Classic 16oz,,,,,,,,,3,$10.00 ,12,$120 
Grapefruit Mélange Indulgence 18 oz,,,,,,,,,3,$10.00 ,12,$120 
Grapefruit Mélange McCall's Mason 16oz,,,,,,,,,3,$7.50 ,12,$90 
Grapefruit Mélange Ltd Edition! Vintage 22 22oz Cans,,,,,,,,,3,$7.50 ,12,$90 
Grapefruit Mélange Candle Bars ,,,,,,,,,1,$4.00 ,N/A,0.56
Grapefruit Mélange Buttons (Box of 36),,,,,,,,,1,$20.00 ,4,$39 
Grapefruit Mélange Reed Gardens 4oz,,,,,,,,,1,$6.50 ,6,
Grapefruit Mélange Display Jar Classic Label,,,,,,,,,1,$12.50 ,1,
Grapefruit Mélange Display Jar Black & Gold Label,,,,,,,,,1,$12.50 ,1,
Haley's Butter Frosting Classic Jar Candle 16oz,,,,,,,,,3,$9.50 ,12,$114 
Haley's Butter Frosting Classic Jar Candle 26oz,,,,,,,,,3,$12.00 ,12,$144 
Haley's Butter Frosting Double Wick Classic 16oz,,,,,,,,,3,$10.00 ,12,$120 
Haley's Butter Frosting Indulgence 18 oz,,,,,,,,,3,$10.00 ,12,$120 
Haley's Butter Frosting McCall's Mason 16oz,,,,,,,,,3,$7.50 ,12,$90 
Haley's Butter Frosting Candle Bars ,,,,,,,,,1,$4.00 ,N/A,0.56
Haley's Butter Frosting Buttons (Box of 36),,,,,,,,,1,$20.00 ,4,$39 
Haley's Butter Frosting Reed Gardens 4oz,,,,,,,,,1,$6.50 ,6,
Haley's Butter Frosting Display Jar Classic Label,,,,,,,,,1,$12.50 ,1,
Haley's Butter Frosting Display Jar Black & Gold Label,,,,,,,,,1,$12.50 ,1,
Honey & Cornbread Classic Jar Candle 16oz,,,,,,,,,3,$9.50 ,12,$114 
Honey & Cornbread Classic Jar Candle 26oz,,,,,,,,,3,$12.00 ,12,$144 
Honey & Cornbread Double Wick Classic 16oz,,,,,,,,,3,$10.00 ,12,$120 
Honey & Cornbread McCall's Mason 16oz,,,,,,,,,3,$7.50 ,12,$90 
Honey & Cornbread Ltd Edition! Vintage 22 22oz Cans,,,,,,,,,3,$7.50 ,12,$90 
Honey & Cornbread Candle Bars ,,,,,,,,,1,$4.00 ,N/A,0.56
Honey & Cornbread Buttons (Box of 36),,,,,,,,,1,$20.00 ,4,$39 
Honey & Cornbread Reed Gardens 4oz,,,,,,,,,1,$6.50 ,6,
Honey & Cornbread Display Jar Classic Label,,,,,,,,,1,$12.50 ,1,
Honey & Cornbread Display Jar Black & Gold Label,,,,,,,,,1,$12.50 ,1,
Hot Buttered Rum Classic Jar Candle 16oz,,,,,,,,,3,$9.50 ,12,$114 
Hot Buttered Rum Classic Jar Candle 26oz,,,,,,,,,3,$12.00 ,12,$144 
Hot Buttered Rum Double Wick Classic 16oz,,,,,,,,,3,$10.00 ,12,$120 
Hot Buttered Rum Indulgence 18 oz,,,,,,,,,3,$10.00 ,12,$120 
Hot Buttered Rum McCall's Mason 16oz,,,,,,,,,3,$7.50 ,12,$90 
Hot Buttered Rum Ltd Edition! Vintage 22 22oz Cans,,,,,,,,,3,$7.50 ,12,$90 
Hot Buttered Rum Candle Bars ,,,,,,,,,1,$4.00 ,N/A,0.56
Hot Buttered Rum Buttons (Box of 36),,,,,,,,,1,$20.00 ,4,$39 
Hot Buttered Rum Reed Gardens 4oz,,,,,,,,,1,$6.50 ,6,
Hot Buttered Rum Display Jar Classic Label,,,,,,,,,1,$12.50 ,1,
Hot Buttered Rum Display Jar Black & Gold Label,,,,,,,,,1,$12.50 ,1,
Laura's Lemon Loaf Classic Jar Candle 16oz,,,,,,,,,3,$9.50 ,12,$114 
Laura's Lemon Loaf Classic Jar Candle 26oz,,,,,,,,,3,$12.00 ,12,$144 
Laura's Lemon Loaf Double Wick Classic 16oz,,,,,,,,,3,$10.00 ,12,$120 
Laura's Lemon Loaf Indulgence 18 oz,,,,,,,,,3,$10.00 ,12,$120 
Laura's Lemon Loaf McCall's Mason 16oz,,,,,,,,,3,$7.50 ,12,$90 
Laura's Lemon Loaf Ltd Edition! Vintage 22 22oz Cans,,,,,,,,,3,$7.50 ,12,$90 
Laura's Lemon Loaf Candle Bars ,,,,,,,,,1,$4.00 ,N/A,0.56
Laura's Lemon Loaf Buttons (Box of 36),,,,,,,,,1,$20.00 ,4,$39 
Laura's Lemon Loaf Reed Gardens 4oz,,,,,,,,,1,$6.50 ,6,
Laura's Lemon Loaf Display Jar Classic Label,,,,,,,,,1,$12.50 ,1,
Laura's Lemon Loaf Display Jar Black & Gold Label,,,,,,,,,1,$12.50 ,1,
NEW! Lavender Magnolia Classic Jar Candle 16oz,,,,,,,,,3,$9.50 ,12,$114 
NEW! Lavender Magnolia Classic Jar Candle 26oz,,,,,,,,,3,$12.00 ,12,$144 
NEW! Lavender Magnolia Double Wick Classic 16oz,,,,,,,,,3,$10.00 ,12,$120 
NEW! Lavender Magnolia Indulgence 18 oz,,,,,,,,,3,$10.00 ,12,$120 
