"SAVANNAH WEAVE BLACK/TAN SHORT RUNNER 14"" X 32""",AQ60SR,No cat,2,$5.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/savannah-weave-black-tan_600x375.jpg,savannah-weave-black-tan_600x375.jpg
"SAVANNAH WEAVE CRANBERRY/TAN LONG RUNNER 14"" X 56""",AQ61LR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/savannah-weave-cranberry-tan.jpg,savannah-weave-cranberry-tan.jpg
"SAVANNAH WEAVE CRANBERRY/TAN SHORT RUNNER 14"" X 32""",AQ61SR,No cat,2,$5.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/savannah-weave-cranberry-tan.jpg,savannah-weave-cranberry-tan.jpg
"BAYBERRY WEAVE BLACK/TAN LONG RUNNER 14"" X 56""",AQ64LR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/bayberry-weave-black-tan.jpg,bayberry-weave-black-tan.jpg
"BAYBERRY WEAVE CRANBERRY/TAN LONG RUNNER 14"" X 56""",AQ65LR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/bayberry-weave-cranberry-tan.jpg,bayberry-weave-cranberry-tan.jpg
"BAYBERRY WEAVE CRANBERRY/TAN SHORT RUNNER 14"" X 32""",AQ65SR,No cat,2,$5.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/bayberry-weave-cranberry-tan.jpg,bayberry-weave-cranberry-tan.jpg
"ARDMORE WEAVE CRANBERRY/TAN LONG RUNNER 14""X56""",AQ67LR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ67%20(2).jpg,AQ67%20(2).jpg
"ARDMORE WEAVE CRANBERRY/TAN SHORT RUNNER 14""X32""",AQ67SR,No cat,2,$5.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ67%20(2).jpg,AQ67%20(2).jpg
"ARDMORE WEAVE - BLACK/TAN LONG RUNNER 14""X56""",AQ68LR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ68%20(2).jpg,AQ68%20(2).jpg
"ARDMORE WEAVE - BLACK/TAN SHORT RUNNER 14""X32""",AQ68SR,No cat,2,$5.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ68%20(2).jpg,AQ68%20(2).jpg
"THE PATRIOT KNOT LONG RUNNER 14"" X 56""",AQ71LR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ71.jpg,AQ71.jpg
"THE PATRIOT KNOT SHORT RUNNER 14"" X 32""",AQ71SR,No cat,2,$5.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ71.jpg,AQ71.jpg
"CROSS BUCK WEAVE TAN/BLACK LONG RUNNER 14"" X 56""",AQ75LR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ75.jpg,AQ75.jpg
"CROSS BUCK WEAVE TAN/BLACK SHORT RUNNER 14"" X 32""",AQ75SR,No cat,2,$5.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ75.jpg,AQ75.jpg
"SHAKER CROSS LONG RUNNER - CHOCOLATE/TAN 14""X32""",AQ76BLR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ76B.jpg,AQ76B.jpg
"SHAKER CROSS SHORT RUNNER - CHOCOLATE/TAN 14""X32""",AQ76BSR,No cat,2,$5.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ76B.jpg,AQ76B.jpg
"SHAKER CROSS SAND/CREME SHORT RUNNER 14"" X 32""",AQ76CSR,No cat,2,$5.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ76C.jpg,AQ76C.jpg
"SHAKER CROSS LONG RUNNER - OLIVE/TAN 14""X56""",AQ76GLR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ76G.jpg,AQ76G.jpg
"SHAKER CROSS SHORT RUNNER - OLIVE/TAN 14""X32""",AQ76GSR,No cat,2,$5.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ76G.jpg,AQ76G.jpg
"SHAKER CROSS LONG RUNNER CRANBERRY/TAN 14"" X 56""",AQ76LR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ76.jpg,AQ76.jpg
"SHAKER CROSS SHORT RUNNER CRANBERRY/TAN 14"" X 32""",AQ76SR,No cat,2,$5.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ76.jpg,AQ76.jpg
"CHARLESTON LONG RUNNER BLACK/CRANBERRY/TAN 14"" X 56""",AQ77LR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ77.jpg,AQ77.jpg
"CHARLESTON SHORT RUNNER BLACK/CRANBERRY/TAN 14"" X 32""",AQ77SR,No cat,2,$5.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ77.jpg,AQ77.jpg
"CHARLESTON LONG RUNNER CRANBERRY/GREEN/TAN 14""X56""",AQ78LR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ78.jpg,AQ78.jpg
"CHARLESTON SHORT RUNNER CRANBERRY/GREEN/TAN 14""X32"" AVAIL. AUGUST 2017",AQ78SR,No cat,2,$5.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ78.jpg,AQ78.jpg
"EDGEFIELD LONG RUNNER MUSTARD/BLACK/TAN 14"" X 32""",AQ79LR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ79.jpg,AQ79.jpg
"EDGEFIELD SHORT RUNNER MUSTARD/BLACK/TAN 14"" X 32""",AQ79SR,No cat,2,$5.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ79.jpg,AQ79.jpg
"EDGEFIELD LONG RUNNER CRANBERRY/BLACK/TAN 14"" X 32""",AQ80LR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ80.jpg,AQ80.jpg
"EDGEFIELD SHORT RUNNER CRANBERRY/BLACK/TAN 14"" X 32""",AQ80SR,No cat,2,$5.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ80.jpg,AQ80.jpg
"BRAMWELL WEAVE LONG RUNNER - BLACK/TAN 14""X56""",AQ81LR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ81.jpg,AQ81.jpg
"BRAMWELL WEAVE SHORT RUNNER - BLACK/TAN 14""X32"" AVAILABLE AUGUST 2017",AQ81SR,No cat,2,$5.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ81.jpg,AQ81.jpg
"NEWBURY LONG RUNNER - BLACK/TAN 14"" X 56""",AQ84LR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ84.jpg,AQ84.jpg
"NEWBURY SHORT RUNNER - BLACK/TAN 14"" X 32""",AQ84SR,No cat,2,$5.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ84.jpg,AQ84.jpg
"NEWBURY LONG RUNNER - CRANBERRY/TAN 14"" X 56""",AQ85LR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ85.jpg,AQ85.jpg
"NEWBURY SHORT RUNNER - CRANBERRY/TAN 14"" X 32""",AQ85SR,No cat,2,$5.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ85.jpg,AQ85.jpg
"PACKSVILLE ROSE LONG RUNNER - BLACK/TAN 14"" X 56""",AQ87LR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ87.jpg,AQ87.jpg
PACKSVILLE ROSE SHORT RUNNER - BLACK/TAN AVAILABLE AUGUST 2017,AQ87SR,No cat,2,$5.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ87.jpg,AQ87.jpg
"PACKSVILLE ROSE LONG RUNNER - CRANBERRY/TAN 14"" X 56""",AQ88LR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ88.jpg,AQ88.jpg
"PACKSVILLE ROSE NATURAL LONG RUNNER 14""X56"" AVAIL AUG 2017",AQ88NLR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ88N.jpg,AQ88N.jpg
"PACKSVILLE ROSE SHORT RUNNER - CRANBERRY/TAN 14"" X 32""",AQ88SR,No cat,2,$5.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ88.jpg,AQ88.jpg
