Paited Fruit of the Tree - DISCONTINUED,RND918,On Sale!,23x23 - WAS $55.00,Out Of Stock,,,,,,,$38.50/ea,,,,,,Beyond400,Beyond160,https://d1hfjit43knzun.cloudfront.net/BeyondBorders/userFiles/image/f2bc6ea8649fefea89e5b61fa5d3dc40bfce2c1c.jpeg,f2bc6ea8649fefea89e5b61fa5d3dc40bfce2c1c.jpeg,,,Beyond800,f2bc6ea8649fefea89e5b61fa5d3dc40bfce2c1c.jpeg
Painted Passion Flower Cross - DISCONTINUED,REC938,On Sale!,WAS $39.50 - 11x17,Out Of Stock,,,,,,,$27.65/ea,,,,,,Beyond400,Beyond160,https://d1hfjit43knzun.cloudfront.net/BeyondBorders/userFiles/image/38f3ce64c00902d18980b633ed96a13d252fc6d7.jpeg,38f3ce64c00902d18980b633ed96a13d252fc6d7.jpeg,,,Beyond800,38f3ce64c00902d18980b633ed96a13d252fc6d7.jpeg
Painted Star Sconce - DISCONTINUED,SM933,On Sale!,Was 26 now 18.20,,,,,,,,$18.20/ea,,,,,,Beyond400,Beyond160,https://d1hfjit43knzun.cloudfront.net/BeyondBorders/userFiles/image/8f4760b4bc9c814fb0c09c6c4a39f7a6254221fe.jpeg,8f4760b4bc9c814fb0c09c6c4a39f7a6254221fe.jpeg,,,Beyond800,8f4760b4bc9c814fb0c09c6c4a39f7a6254221fe.jpeg
Radiant Painted Sun Face - DISCONTINUED,RND922,On Sale!,23x23 - WAS $52.00,,,,,,,,$36.40/ea,,,,,,Beyond400,Beyond160,https://d1hfjit43knzun.cloudfront.net/BeyondBorders/userFiles/image/45c379288b504b7c0511b4824bafc1ab8889d81f.jpeg,45c379288b504b7c0511b4824bafc1ab8889d81f.jpeg,,,Beyond800,45c379288b504b7c0511b4824bafc1ab8889d81f.jpeg
Small Filigree Bowl - DISCONTINUED,SM809,On Sale!,"4.5"" x 4.5"" x 2"" Graceful swirls embrace to create a beautiful little bowl. Crafted by Bruno Herby. Was 8.50 now 5.95",,,,,,,,$5.95/ea,,,,,,Beyond400,Beyond160,https://d1hfjit43knzun.cloudfront.net/BeyondBorders/userFiles/image/30cabf608c698a23fa997b380eb34f385f995c5a.jpeg,30cabf608c698a23fa997b380eb34f385f995c5a.jpeg,,,Beyond800,30cabf608c698a23fa997b380eb34f385f995c5a.jpeg
Spiritual Mermaid - DISCONTINUED,SM937,On Sale!,Was 32 now 22.40,,,,,,,,$22.40/ea,,,,,,Beyond400,Beyond160,https://d1hfjit43knzun.cloudfront.net/BeyondBorders/userFiles/image/4751c8edb5350cc7981fdabeae1cf7490c5f8388.jpeg,4751c8edb5350cc7981fdabeae1cf7490c5f8388.jpeg,,,Beyond800,4751c8edb5350cc7981fdabeae1cf7490c5f8388.jpeg
Standing Manger Scene - DISCONTINUED,SM908,On Sale!,"7"" x 8.5"" This new nativity stands all on it's own … with nice touches of whimsy and divinity. Made by Claude Pierre. Was 13.50 now 9.45",,,,,,,,$9.45/ea,,,,,,Beyond400,Beyond160,https://d1hfjit43knzun.cloudfront.net/BeyondBorders/userFiles/image/888b2ad07a1d0306ed1dd3afe099ac28c2fadb3e.jpeg,888b2ad07a1d0306ed1dd3afe099ac28c2fadb3e.jpeg,,,Beyond800,888b2ad07a1d0306ed1dd3afe099ac28c2fadb3e.jpeg
Standing Perched Owl - DISCONTINUED,SM817,On Sale!,"l4"" x 7"" x 4"" This upstanding new owl design joins our other owl pieces from Exuma Exulien … this is a must-have for any store! Was 23 now 16.10",,,,,,,,$16.10/ea,,,,,,Beyond400,Beyond160,https://d1hfjit43knzun.cloudfront.net/BeyondBorders/userFiles/image/d3fb345f50eaec9e10eaf65599db9b918bdb599d.jpeg,d3fb345f50eaec9e10eaf65599db9b918bdb599d.jpeg,,,Beyond800,d3fb345f50eaec9e10eaf65599db9b918bdb599d.jpeg
Steel Head - DISCONTINUED,SM930,On Sale!,Was 44 now 30.80,,,,,,,,$30.80/ea,,,,,,Beyond400,Beyond160,https://d1hfjit43knzun.cloudfront.net/BeyondBorders/userFiles/image/979e561d7b241eebd403a67a529e537512a8b4c4.jpeg,979e561d7b241eebd403a67a529e537512a8b4c4.jpeg,,,Beyond800,979e561d7b241eebd403a67a529e537512a8b4c4.jpeg
Sunny Splendor - DISCONTINUED,RND920,On Sale!,15x15 - WAS $20.00,Out Of Stock,,,,,,,$14.00/ea,,,,,,Beyond400,Beyond160,https://d1hfjit43knzun.cloudfront.net/BeyondBorders/userFiles/image/a99cfe10214371de493e1cbc8dc20b28ce4b7c5b.jpeg,a99cfe10214371de493e1cbc8dc20b28ce4b7c5b.jpeg,,,Beyond800,a99cfe10214371de493e1cbc8dc20b28ce4b7c5b.jpeg
Swirl Votive / Pencil Holder - DISCONTINUED,SM676,On Sale!,"3.25"" x 4"" Multi-functional as a candle votive or a pencil holder or a glass caddy for a guest bathroom ... it makes a great teacher gift! Created by Simon Gerald. WAS $11.00",,,,,,,,$7.70/ea,,,,,,Beyond400,Beyond160,https://d1hfjit43knzun.cloudfront.net/BeyondBorders/userFiles/image/5de5c59fde9575f11f2dbae0dbcaa1fe7a29e432.jpg,5de5c59fde9575f11f2dbae0dbcaa1fe7a29e432.jpg,,,Beyond800,5de5c59fde9575f11f2dbae0dbcaa1fe7a29e432.jpg
Trois Soleils - DISCONTINUED,SM414,On Sale!,"6"" x 17"" Triple fun in the sun with these entwined stars of the show. Created by Orelein Romaire. WAS $18.00",,,,,,,,$12.60/ea,,,,,,Beyond400,Beyond160,https://d1hfjit43knzun.cloudfront.net/BeyondBorders/userFiles/image/0ce1ce94c8f8e0144292146aa20f62f4f9a5b7a0.jpg,0ce1ce94c8f8e0144292146aa20f62f4f9a5b7a0.jpg,,,Beyond800,0ce1ce94c8f8e0144292146aa20f62f4f9a5b7a0.jpg
White Painted Heart Ornament - DISCONTINUED,SM903,On Sale!,"3"" x 3"" Pure and simple. Created by Simon Gerald. Was 6 now 4.20",,,,,,,,$4.20/ea,,,,,,Beyond400,Beyond160,https://d1hfjit43knzun.cloudfront.net/BeyondBorders/userFiles/image/af83f2df81cd35805f4c18a57db994e3ccfc57b2.jpeg,af83f2df81cd35805f4c18a57db994e3ccfc57b2.jpeg,,,Beyond800,af83f2df81cd35805f4c18a57db994e3ccfc57b2.jpeg
Two Hearts Painted Ornament,SM983,"Peace, Love & Hearts","4.5"" x 4"" What's better than one heart … two intertwined! A lovely design with gold painted highlights. Made by Orelien Romaire.",,,,,,,,$6.00/ea,,,,,,Beyond400,Beyond160,https://d1hfjit43knzun.cloudfront.net/BeyondBorders/userFiles/image/d7885744d75c005033b6923b90979cb0277dbab9.jpeg,d7885744d75c005033b6923b90979cb0277dbab9.jpeg,,,Beyond800,d7885744d75c005033b6923b90979cb0277dbab9.jpeg
Beautiful Roots Painted Tree,RND999,Tree of Life,"15"" x 15"" Curly branches, smooth roots and subtly painted leaves and birds make this new round easy to live with and enjoy. Crafted by Stanley Brutus.",Available 06/15/2018,,,,,,,$30.00/ea,,,,,,Beyond400,Beyond160,https://d1hfjit43knzun.cloudfront.net/BeyondBorders/userFiles/image/1adf4b4a65c7cdaed007e439684ed940c3846b0c.jpeg,1adf4b4a65c7cdaed007e439684ed940c3846b0c.jpeg,,,Beyond800,1adf4b4a65c7cdaed007e439684ed940c3846b0c.jpeg
Off to School,RND926,Underwater World,23x23,Available 06/15/2018,,,,,,,$39.00/ea,,,,,,Beyond400,Beyond160,https://d1hfjit43knzun.cloudfront.net/BeyondBorders/userFiles/image/a1bb9e92754edd248b3769ad7bd717aae2e814a1.jpeg,a1bb9e92754edd248b3769ad7bd717aae2e814a1.jpeg,,,Beyond800,a1bb9e92754edd248b3769ad7bd717aae2e814a1.jpeg
Painted Schooling Fish,REC924,Underwater World,25x12,Out Of Stock,,,,,,,$57.00/ea,,,,,,Beyond400,Beyond160,https://d1hfjit43knzun.cloudfront.net/BeyondBorders/userFiles/image/8fd6c7cd95d19d722c5b46842e970409d49faa0d.jpeg,8fd6c7cd95d19d722c5b46842e970409d49faa0d.jpeg,,,Beyond800,8fd6c7cd95d19d722c5b46842e970409d49faa0d.jpeg
