PD_Home_&_Garden_8055.xls,[u'Currently In Stock']
Capitol_Imports_258.xls,"[u'In stock & shipping (checked March 18, 2023)', u'Out of stock - order to ship after April 25th', u'Out of stock']"
Audreys_Your_Hearts_Delight_251.xls,"[u'In stock & shipping (checked March 17, 2023)', u'Low inventory - expected March 15, 2023', u'Out of stock - order to ship after April 15, 2023', u'Low inventory - expected July 01, 2023', u'Out of stock - order to ship after July 01, 2023', u'Out of stock - order to ship after March 01, 2023', u'Out of stock - order to ship after June 05, 2023', u'SOLD OUT FOR SEASON', u'Low inventory - expected November 01, 2023', u'Out of stock - order to ship after June 12, 2023', u'Out of stock - order to ship after May 27, 2023', u'Out of stock - order to ship after June 25, 2023', u'Out of stock - order to ship after November 01, 2023', u'Out of stock - order to ship after May 22, 2023', u'Out of stock - order to ship after April 11, 2023', u'Out of stock - order to ship after June 27, 2023', u'Out of stock - order to ship after July 10, 2023', u'Out of stock - order to ship after August 05, 2023', u'Low inventory - expected July 10, 2023', u'Out of stock - order to ship after July 15, 2023', u'Out of stock - order to ship after May 26, 2023', u'Out of stock - order to ship after June 26, 2023', u'Out of stock - order to ship after June 18, 2023', u'Out of stock - order to ship after June 06, 2023', u'Out of stock - order to ship after May 20, 2023', u'Out of stock - order to ship after June 07, 2023', u'Out of stock - order to ship after June 10, 2023', u'Out of stock - order to ship after August 01, 2023', u'Out of stock - order to ship after May 25, 2023', u'Out of stock - order to ship after June 11, 2023', u'Out of stock - order to ship after June 04, 2023', u'Out of stock - order to ship after June 22, 2023', u'Out of stock - order to ship after June 02, 2023', u'Low inventory - expected August 05, 2023', u'Out of stock - order to ship after July 24, 2023', u'Out of stock - order to ship after July 20, 2023', u'Out of stock - order to ship after May 15, 2023', u'Out of stock - order to ship after July 05, 2023', u'Out of stock - order to ship after June 20, 2023', u'Low inventory - expected August 01, 2023', u'Low inventory - expected June 12, 2023', u'Out of stock - order to ship after June 15, 2023', u'Low inventory - expected June 15, 2023', u'Out of stock - order to ship after June 13, 2023', u'Low inventory - expected May 22, 2023', u'Low inventory - expected May 27, 2023', u'Low inventory - expected June 26, 2023', u'Out of stock - order to ship after May 28, 2023', u'Out of stock - order to ship after May 21, 2023', u'Low inventory - expected June 20, 2023', u'Low inventory - expected June 07, 2023', u'Low inventory - expected May 26, 2023', u'Low inventory - expected May 21, 2023', u'Low inventory - expected June 22, 2023']"
Bittersweet_Springs_Metal_8005.xls,"[u'', u'Choose from dropdown menu.']"
Fiber_&_Water_Framed_Art_8040.xls,[u'']
JanMichael's_Crafts_7908.xls,[u'']
HomArt_8098.xls,"[u'In stock', u'In Stock', u'Available May 27, 2023', u'Available June 06, 2023', u'Available December 07, 2022', u'Available December 31, 2022', u'Available April 22, 2023', u'Out of Stock', u'Available July 06, 2023', u'Available May 23, 2023', u'Available March 22, 2023', u'Available December 21, 2022', u'Available January 16, 2023', u'Available January 26, 2023', u'Available April 26, 2023', u'Available February 21, 2023', u'Available February 05, 2023', u'Available May 22, 2023', u'Available January 10, 2023', u'Available January 20, 2023', u'Available May 02, 2023', u'Available February 04, 2023', u'Available May 06, 2023', u'Available April 01, 2023', u'Available March 18, 2023', u'Available April 17, 2023', u'Available April 27, 2023', u'Available November 25, 2022', u'Available February 15, 2023', u'Available May 17, 2023', u'Available May 13, 2023', u'Available December 05, 2022', u'Available March 02, 2023', u'Available January 31, 2023', u'Available February 25, 2023', u'Available December 17, 2022', u'Available March 23, 2023', u'Available February 10, 2023', u'Available June 26, 2023', u'Available January 25, 2023', u'Available November 30, 2022', u'Available October 20, 2023', u'Available December 22, 2022', u'Available December 03, 2022', u'Available February 20, 2023', u'Available January 30, 2023', u'Available January 15, 2023', u'Available January 21, 2023', u'Available August 06, 2023', u'Discontinued']"
Concepts_in_Time_8049.xls,[u'']
Wholesale_Home_Decor_Closeouts_8061.xls,"[u'', u'In Stock']"
August Ceramics.xls,[u'']
Desperate_Tin_Signs_8022.xls,[u'']
